,unitid,year,fips,level_of_study,tuition_type,tuition_fees_ft,tuition_ft,fees_ft,credit_hour_charge_pt,tuition_published,fees_published,tuition_fees_published,tuition_pub_pct_increase,fees_pub_pct_increase,ingested_at_utc
72,101161,2021,1,1,2,4860.0,3990.0,870.0,133.0,3990.0,870.0,4860.0,,,2026-02-13T03:05:35
73,101161,2021,1,1,3,4860.0,3990.0,870.0,133.0,3990.0,870.0,4860.0,,,2026-02-13T03:05:35
74,101161,2021,1,1,4,8850.0,7980.0,870.0,266.0,7980.0,870.0,8850.0,,,2026-02-13T03:05:35
75,101189,2021,1,1,2,23490.0,21500.0,1990.0,740.0,21500.0,1990.0,23490.0,,,2026-02-13T03:05:35
76,101189,2021,1,1,3,23490.0,21500.0,1990.0,740.0,21500.0,1990.0,23490.0,,,2026-02-13T03:05:35
77,101189,2021,1,1,4,23490.0,21500.0,1990.0,740.0,21500.0,1990.0,23490.0,,,2026-02-13T03:05:35
78,101189,2021,1,2,2,11814.0,10374.0,1440.0,575.0,,,,,,2026-02-13T03:05:35
79,101189,2021,1,2,3,11814.0,10374.0,1440.0,575.0,,,,,,2026-02-13T03:05:35
80,101189,2021,1,2,4,11814.0,10374.0,1440.0,575.0,,,,,,2026-02-13T03:05:35
81,101240,2021,1,1,2,5248.0,3936.0,1312.0,123.0,2952.0,984.0,3936.0,,,2026-02-13T03:05:35
82,101240,2021,1,1,3,5248.0,3936.0,1312.0,123.0,2952.0,984.0,3936.0,,,2026-02-13T03:05:35
83,101240,2021,1,1,4,9184.0,7872.0,1312.0,246.0,5904.0,984.0,6888.0,,,2026-02-13T03:05:35
84,101286,2021,1,1,2,4800.0,3690.0,1110.0,123.0,3690.0,1110.0,4800.0,,,2026-02-13T03:05:35
85,101286,2021,1,1,3,4800.0,3690.0,1110.0,123.0,3690.0,1110.0,4800.0,,,2026-02-13T03:05:35
86,101286,2021,1,1,4,8490.0,7380.0,1110.0,246.0,7680.0,1110.0,8790.0,,,2026-02-13T03:05:35
87,101295,2021,1,1,2,4860.0,3690.0,1170.0,123.0,3690.0,1170.0,4860.0,,,2026-02-13T03:05:35
88,101295,2021,1,1,3,4860.0,3690.0,1170.0,123.0,3690.0,1170.0,4860.0,,,2026-02-13T03:05:35
89,101295,2021,1,1,4,8550.0,7380.0,1170.0,246.0,7380.0,1170.0,8550.0,,,2026-02-13T03:05:35
90,101301,2021,1,1,2,4560.0,3690.0,870.0,123.0,3690.0,870.0,4560.0,,,2026-02-13T03:05:35
91,101301,2021,1,1,3,4560.0,3690.0,870.0,123.0,3690.0,870.0,4560.0,,,2026-02-13T03:05:35
